﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6Ac4NVYYl2U73QiTt11ZKd","Hooked on a Feeling","Blue Swede","Hooked On A Feeling","1","1","172866","spotify:user:12478133","2016-09-28T03:17:28Z"
"spotify:track:1CnTAkLCWL8Uvsr1BDiX8F","Spirit in the Sky","Norman Greenbaum","The Original Hit Recording - Spirit in the Sky","1","1","240906","spotify:user:12478133","2016-09-28T03:17:34Z"
"spotify:track:75GQIYnRaBg7ndHxhfYuQy","Go All The Way","The Raspberries","Raspberries","1","1","205346","spotify:user:12478133","2016-09-28T03:17:44Z"
"spotify:track:3ziCNz5vq8pEeRZjPElfYR","Moonage Daydream - 2012 Remastered Version","David Bowie","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (Remastered Version)","1","3","280530","spotify:user:12478133","2016-09-28T03:18:02Z"
"spotify:track:2OSfEYKhlSsLx6vn4O75RK","I Want You Back","Jackson 5","Greatest Hits","1","1","178493","spotify:user:12478133","2016-09-28T03:18:19Z"
"spotify:track:2T43UrvAg60ubJVo5KQ3t7","Come And Get Your Love","Redbone","The Best Of Redbone","1","1","208306","spotify:user:12478133","2016-09-28T03:18:36Z"
"spotify:track:4njseCGxWeZUksjhrqkleT","Ain't No Mountain High Enough - Mono Version","Marvin Gaye, Tammi Terrell","Anthology","1","16","148093","spotify:user:12478133","2016-09-28T03:19:03Z"
"spotify:track:6wDviYDtmSDZ0S6TVMM9Vc","ABC","Jackson 5","ABC","1","3","177733","spotify:user:12478133","2016-09-28T03:19:34Z"
"spotify:track:2VNfJpwdEQBLyXajaa6LWT","Burning Down The House (45 Version)","Talking Heads","Burning Down The House / I Get Wild/Wild Gravity [Digital 45]","1","1","241920","spotify:user:12478133","2016-09-28T03:27:05Z"
"spotify:track:3csSeZ3tVn77nt6B98K5YW","Video Killed The Radio Star","The Buggles","Take Me Home Tonight","1","1","201946","spotify:user:12478133","2016-09-28T03:28:41Z"
"spotify:track:6mY33jJTKxC9YdbvZ7RaXh","Hungry Like The Wolf","Duran Duran","Take Me Home Tonight","1","3","203600","spotify:user:12478133","2016-09-28T03:28:51Z"
"spotify:track:4Y6W2Bb6wo4BybiSQQ9bwZ","Situation","Yaz","Take Me Home Tonight","1","4","342986","spotify:user:12478133","2016-09-28T03:29:00Z"
"spotify:track:1qQiWGviRy8ZnWxbTYifKl","Kickstart My Heart","Motley Crue","Take Me Home Tonight","1","6","281346","spotify:user:12478133","2016-09-28T03:29:14Z"
