Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:28wGX1hoLCRbBZbEqITvE3","Ain't No Mountain High Enough - Stereo Version","Marvin Gaye, Tammi Terrell","The Very Best Of Marvin Gaye","1","10","146160","spotify:user:1251123611","2016-10-05T02:36:18Z"
"spotify:track:5cmIWIBxZj9HpqrVtj4KWG","Crocodile Rock","Elton John","Rocket Man - Number Ones","1","4","235280","spotify:user:1251123611","2016-10-05T02:36:22Z"
"spotify:track:5pKJtX4wBeby9qIfFhyOJj","Don't Go Breaking My Heart","Elton John, Kiki Dee","To Be Continued...","3","7","271133","spotify:user:1251123611","2016-10-05T02:36:27Z"
"spotify:track:63diy8Bzm0pHMAU37By2Nh","Take Me Home Tonight","Eddie Money","The Best Of Eddie Money","1","3","211466","spotify:user:1251123611","2016-10-05T02:36:32Z"
"spotify:track:0KdwmtG44yIDpyie4b0jCn","Wherever I Go","OneRepublic","Wherever I Go","1","1","170213","spotify:user:1251123611","2016-10-05T02:36:38Z"
"spotify:track:0pNeVovbiZHkulpGeOx1Gj","Something - Remastered","The Beatles","Abbey Road (Remastered)","1","2","182293","spotify:user:1251123611","2016-10-05T02:36:47Z"
"spotify:track:4pbG9SUmWIvsROVLF0zF9s","I Want To Hold Your Hand - Remastered 2015","The Beatles","1 (Remastered)","1","4","145746","spotify:user:1251123611","2016-10-05T02:36:51Z"
"spotify:track:6nEkxYIEnrbYH7h1hJ8Xn6","She Loves You - Mono / Remastered","The Beatles","1 (Remastered)","1","3","140920","spotify:user:1251123611","2016-10-05T02:36:55Z"
"spotify:track:1euKWJfJSfPhgSendPrcXb","From Me To You - Mono / Remastered","The Beatles","1 (Remastered)","1","2","116160","spotify:user:1251123611","2016-10-05T02:37:00Z"
"spotify:track:4aX3n1Pn6jiCbvqBL8eqyP","Love Me Do - Mono / Remastered","The Beatles","1 (Remastered)","1","1","140173","spotify:user:1251123611","2016-10-05T02:37:04Z"
"spotify:track:5ylLypaOksxWd75YrGtx2N","Eight Days A Week - Remastered 2015","The Beatles","1 (Remastered)","1","8","163320","spotify:user:1251123611","2016-10-05T02:37:07Z"
"spotify:track:5W7KxATuk7pEowuY51teRv","Land of 1000 Dances","Wilson Pickett","Forrest Gump - The Soundtrack","1","5","143533","spotify:user:1251123611","2016-10-05T02:37:12Z"
"spotify:track:6gYWk94jczaAqMFQ49xCaF","I Can't Help Myself (Sugar Pie Honey Bunch)","Four Tops","Forrest Gump - The Soundtrack","1","8","161666","spotify:user:1251123611","2016-10-05T02:37:16Z"
"spotify:track:5wZ6WkbxNJoKEPu7L4dIex","Aquarius / Let the Sunshine In - Remastered","The 5th Dimension","Forrest Gump - The Soundtrack","2","5","286493","spotify:user:1251123611","2016-10-05T02:37:21Z"
